abacus,frame with balls used for calculating,\n
abate,"to lessen, subside",\n
abdication,formal relinquishing of power or authority; resignation,\n
aberration,straying away from what is natural or normal; deviation,\n
abet,"to help, encourage someone in wrongdoing",\n
abeyance,suspended action; temporary inactivity,\n
abhor,"to hate, detest",\n
abide,to be faithful; to endure,\n
abjure,to promise or swear to give up,\n
abraded,"rubbed off, worn away by friction",\n
abrogate,to repeal or annul by authority,\n
abscond,to go away suddenly (to avoid arrest),\n
abstruse,difficult to comprehend; obscure,\n
abut,to border on,\n
abysmal,"bottomless; profoundly, extremely bad",\n
acarpous,effete; worn out; sterile; no longer fertile,\n
acclaimed,welcomed with shouts and approval,\n
accolade,"praise, approval",\n
accretion,the growing of separate things into one; an addition,\n
adamant,kind of stone; inflexible,\n
admonitory,containing a warning; tending to admonish,\n
adorn,add beauty to; decorate,\n
adulteration,making impure or poorer in quality,\n
affable,polite and friendly,\n
affinity,a natural liking for something; an inherent similarity,\n
aggravate,to make worse; to irritate,\n
agile,"active, quick-moving, well-coordinated",\n
agog,eager/excited,\n
ail,to cause pain or trouble to; to be ill,\n
alacrity,eager and cheerful readiness,\n
alcove,recessed part of a room; partially enclosed space,\n
allegiance,"duty, support, loyalty",\n
alleviate,to make (pain) easier to bear,\n
alloy,to debase by mixing with something inferior; a mixture of two or more metals,\n
aloof,"reserved, seemingly indifferent",\n
amalgamate,"mix, combine, unite",\n
ambidextrous,able to use the left hand and the right equally well,\n
ambiguous,"doubtful, uncertain; having several possible meanings or explanations",\n
ambivalent,having both of two contrary desires; uncertain; unable to make a decision,\n
ameliorate,"to improve, make better",\n
amortize,to end (a debt) by making periodic payments,\n
anguish,severe suffering,\n
animosity,strong dislike,\n
antidote,medicine used against a poison or a disease,\n
antithetical,directly opposed; opposite,\n
apartheid,brutal racial discrimination,\n
aplomb,self-confidence,\n
apostate,one who abandons long-held religious or political convictions,\n
apotheosis,"deification, glorification of a person to the rank of a God; the highest point of something",\n
appease,"to make quiet or calm; to soothe, pacify",\n
apprehensive,anxious or nervous about future happenings; perceptive,\n
apprise,to give notice; to inform,\n
approbation,approval,\n
apropos,"appropriate to the situation, apt, pertinent",\n
apt,well-suited;appropriate; able to learn quickly,\n
arabesque,"a complex, ornate design; a ballet pose; a short musical piece",\n
arboreal,of or having to do with trees,\n
ardor,enthusiasm; passion; great warmth,\n
arduous,requiring much exertion; laborious; difficult to climb,\n
argot,jargon slang,\n
arrogance,proud superior manner of behaviourÿ,\n
articulate,speak distinctly connect by jointsÿ,\n
ascend,go or come upÿ,\n
ascertain,get to knowÿ,\n
ascetic,practicing self-denial austere starkÿ,\n
ascribe,consider to be the origin of or belonging toÿ,\n
aseptic,surgically cleanÿ,\n
asperity,roughness harshness ill temper irritabilityÿ,\n
aspersion,slander,\n
assail,with attack violentlyÿ,\n
assiduous,diligent hard-working sedulousÿ,\n
assuage,make smth (pain desire) lessÿ,\n
asterisk,the mark * (e.g.. omitted letters)ÿ,\n
astringent,substance that shrinksÿ,\n
astute,clever quick at seeing to get an advantageÿ,\n
atonement,repayment death of Jesusÿ,\n
attenuate,make thin. weaken enervateÿ,\n
attune,bring into harmonyÿ,\n
audacious,daring foolishly bold impudentÿ,\n
augury,omen signÿ,\n
august,majestic venerableÿ,\n
auspicious,favorable successful prosperousÿ,\n
austere,severely moral and strict simple and plainÿ,\n
auxiliary,helping supportingÿ,\n
aver,affirm assert prove justifyÿ,\n
aversion,strong dislikeÿ,\n
avid,eager greedyÿ,\n
avow,admit. Declare openlyÿ,\n
baleful,harmful ominous causing evilÿ,\n
balk,obstacle purposely to get on the way ofÿ,\n
baneful,causing harm or ruin pernicious destructiveÿ,\n
barrage,artificial obstacle built across a riverÿ,\n
barren,not good enough unable to have young ones without valueÿ,\n
bask,in enjoy warmth and lightÿ,\n
beatify,to bless make happy or ascribe a virtue toÿ,\n
bedizen,to adorn especially in a cheap showy mannerÿ,\n
belabor,beat hardÿ,\n
bellicose,belligerent pugnacious warlikeÿ,\n
belligerent,(person nation) waging warÿ,\n
benefactor,person who has given helpÿ,\n
benevolence,wish or activity in doing goodÿ,\n
benign,kind and gentle mild (climate)ÿ,\n
bequest,arrangement to give smth at deathÿ,\n
berate,scold sharplyÿ,\n
bereft,rob or dispossess of smth (material)ÿ,\n
bewilder,puzzle confuseÿ,\n
bigot,stubborn narrow-minded personÿ,\n
bilge,bulge the protuberance of a caskÿ,\n
blandishment,flattery coaxingÿ,\n
blandness,polite manner comforting uninterestingÿ,\n
blatant,noisy and roughÿ,\n
blithe,cheerful casual carefreeÿ,\n
bogus,sham counterfeit not genuineÿ,\n
boisterous,loud noisy rough lacking restraintÿ,\n
bolster,give greatly needed supportÿ,\n
boorish,crude offensive rudeÿ,\n
brash,hasty rush cheeky saucyÿ,\n
brass,yellow metal (mixing copper and zinc)ÿ,\n
brazen,made of brassÿ,\n
breach,opening broken place breakingÿ,\n
brittle,easily brokenÿ,\n
broach,bring up announce begin to talk aboutÿ,\n
